id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
518d1baa4ee62c06,"""@Josh3580 of course you are going to oppose it because you are biased. Despite the fact that I have also provided you with evidence. Not to mention the fact that more people on this talk page agree more with removing the incorrect term of """"Iranian."""" So i don't know why I see no changes? Oh way that is right because you are a biased person who is being told what to do by someone else. That is the only reasonable explanation I can find for your decisions because I cant think of anyone who would deny factual evidenece over and over again if he is not being paid by someone else to do so.

""",0,0,0,0,0,0
4682125b685509da,"Copyright Violations
Zhangshou:  By now, you must be aware that you should not be copying text from other sources without proper permission.  I don't see that on any of the articles.",0,0,0,0,0,0
573c6e9dd5614ade,"Edit request from 120.63.15.134, 29 August 2011 There is no flogging of people who drink alcohol in Ralegan Siddhi at all. I grew up near Ralegan(Ahmadnagar). It is false, 

About Anna Hazare the lines written by author are not proved. Please delete these line. I am from his village. there is no practice of flogging. Flogging is followed in rural India from past. Anna Hazare in fact educated people against superstitions. Rural people practiced several forms of superstitions to ward of addictions which sufferers could not control themselves. They themselves consented to flogging seeking for some solution. But Anna Hazare, tried his best to stop this flogging practice and encourage people to increase will power.

I checked the article from which the lines about flogging. There is no reference or proof. These lines may have been used to defame him. PLease remove it from your article unless someone prooves it.

120.63.15.134  
Anna Hazare wants anyone who wants to drink alcohol to be flogged in vigilante style, everywhere in India, claiming that physical abuse is a necessary evil to destroy the free will of any responsible adult who wants to consume alcohol, specially in villages.The Making of Anna Hazare « Kafila. Kafila.org. Retrieved on 29 August 2011.Why God Saved Anna Hazare. Readersdigest.co.in (19 April 2010). Retrieved on 29 August 2011.",0,0,0,0,0,0
7470c1caba22935e,"""I'm around again... Thanks for the comments MauritiusXXVII (Aut Disce, Aut Doce, Aut Discede!). 

""",0,0,0,0,0,0
8a24aab08fd0abef,", as you did at Meagan Good, you may be blocked from editing without further notice.",0,0,0,0,0,0
ed0a9e53942148f9,"""

It is your opinion that it is nonsense.  I consider it a personal attack that you consider my edit """"nonsense""""; hence, by policy, you are also guilty of vandalism on this  page.  This argument is circular.  As for the Medea page, challenge each point directly and logically, but don't use such blanket terms such as """"nonsense"""" and """"vandalism"""" without backing it up.""",0,0,0,0,0,0
eaeecc340220866c,"Next Step Realty 

I do not understand why this page is continually taken down/edited. I do not work for them, nor am I affiliated with them, so I do not understand how you can infer that there is a conflict of interest. Also, where in the page was it an advertisement? Everything in the page was purely informational with sources, you also claim the sources aren't good enough, how can that be when they come from bloomberg and the wall street journal? Your edits/deletion of my edits are absurd. At least explain exactly what is wrong and what needs to be fixed in order for my edits to remain, that is a lot more helpful than you just taking them down, and merely saying look at our guidelines, when I do not see myself making any of those errors. Thanks.
  hockeyguy676 January 31 2011",0,0,0,0,0,0
1a77e058770ad972,"""
As far as I can tell, learned people don't express their opinions as either """"Vatican II is infallible"""" or """"Vatican II is not infallible"""".  Everyone is pretty much agreed that ecumenical councils exercise their infallibility via the promulgation of dogmatic definitions, so the question really is whether Vatican II promulgated any dogmatic definitions.  Even the famous Pope Paul VI quote that traditional Catholics always cite uses this terminology:
“There are those who ask what authority, what theological qualification, the Council intended to give to its teachings, knowing that it avoided issuing solemn dogmatic definitions backed by the Church's infallible teaching authority. The answer is known by those who remember the conciliar declaration of March 6, 1964, repeated on November 16, 1964. In view of the pastoral nature of the Council, it avoided proclaiming in an extraordinary manner any dogmas carrying the mark of infallibility.” (General Audience, December 1, 1966, published in the L'Osservatore Romano 1/21/1966)
   """,0,0,0,0,0,0
46a84b111a791b06,"Hi this is Somalinet writer in Mogadishu, Somalia",0,0,0,0,0,0
285b54b1df9fb430,"""

Your comments at Phase II
RE: """"124 a day is actually quite a few. For comparison there are 576 articles currently proposed for deletion as I write this, which equates to only about 80 a day, and that number would probably have been less before the unsourced BLP controversy got going."""" 
As I wrote:
When this arbcom started at 21 January 2010, we were at 52,000 unreferenced BLPs, today we are at 45,000. That is 7,000 articles we as a community have referenced in 17 days, and the pace will only increase as more wikiprojects get involved. I can reference 40 articles in a day, 1/3 of the 124 proposed, this is very doable folks.
I would strongly encouarge you to support this proposal. It is very doable. 
I am actively working to notify other wikiprojects of several tools, see for example:
User_talk:The-Pope#Your_idea_at_Wikipedia:Requests_for_comment.2FBiographies_of_living_people 
As User:The-Pope wrote on my talk page:
The WP:Australia project had a list of over 2000 names just over 2 weeks ago. It's now under 900.  900 is still fairly unworkable, so we've split them up again into smaller topics. Other lists have popped up, Cricket, Rugby union, India and probably many more.   This is all do-able, but it does take time, it does get a bit boring, it can be tempting for some editors to put the first google hit they see on it and remove the tag, but it can work.  One other good thing about these lists, is that you can use the related changes link to see all edits to them... great to keep an eye on pages without clogging up your watchlist (almost like having multiple watchlists). 
This is very possible. As an editor who strives to save almost all articles for the past 4 years, and who has fought so many policy argument to keep articles, this is a wonderful comprimise, with so much potential, I would hope that you would seriously consider this proposal.  (the new and improved ) """,0,0,0,0,0,0
60350ddfb47c9c88,"""

I don't care where she said it. I won't tolerate being spoken to like that. White cat  """,0,0,0,0,0,0
8f8d71a62bcd24b7,"Boylover and girllover userboxes 

Thank you for your input into the discussion at Wikipedia:Templates_for_deletion/Log/2006_February_5#Template:User_paedophile. It is unfortunate that this template was deleted with neither a good reason nor a clear consensus. I believe that by using language that lacks the criminal/abusive connotations, we can satisfy the concerns of the delete voters and create useful, less controversial userboxes. So I created Template:User boylover and Template:User girllover last night.

Unfortunately,  speedy deleted these templates, citing T1. T1 did not apply, and you can tell him so. Your vote at Wikipedia:Deletion_review/Userbox_debates#Template:User_boylover_and_Template:User_girllover will be much appreciated.",0,0,0,0,0,0
49e20adf76b0e22a,"Boring

Why are you so boring Gail.. stop harassing me!",1,0,0,0,0,0
c37c3144a84a3a4f,"""

Except this article is extremely biased because it references the same Andy Greenwald junk 70 times. You want to talk about Wikipedia standards, show me any good historical article on here with a lot of references that goes to one same reference for more than 50% of the time (and over 70 times total). That's absurd. Just rename this """"Emo (as defined by Andy Greenwald)"""" and be done with it. The """"style"""" did not change into pop-punk and indie bands; the media did that by screwing up the word. The real bands continued playing and evolved in sound (many taking a heavier approach which is only hinted at in the lead but never once mentioned again), but it was still in the same genre and rooted in hardcore. That's the whole point of having sub-genres. They build from a larger genre. This article makes zero distinction that while emo continued and evolved naturally, it was at one point rebranded in the media into something completely different from where it started.   """,0,0,0,0,0,0
90dfc7f3209e111b,"|listas = Emerson, Louis W.",0,0,0,0,0,0
435ee9a3f179d75d,"Last question
Since going to allow two injustices, you could at least tell Maragm and company that the discussion in article Peter III of Aragon started on January 14 and therefore the previous edition is what I advocate. I'm tired of being accused of not respecting timeout.",0,0,0,0,0,0
2846730d4c4071df,"WP:DASH says to use en-dash, not hyphen, so the script I run changes hyphens to en-dashes, and changes the code (the –) for spaced en-dashes to regular unspaced en-dashes.",0,0,0,0,0,0
0b8b39c4e36feb7c,""" November 2007 (UTC)

It seems that either you do not understand, either you are of bad faith. Let's make it simple:

According to Encyclopaedia Judaica (Jerusalem, 1972), not I, the great argument of the Reform rabbis in Frankfurt (1843) was """"God ordered circumcision to Abraham, not to Moses""""; in other words God's COMMANDMENT to Abraham is circumcision, God's COMMANDMENTS to Moses do not order circumcision; in other words:

- God's One Commandment to Abraham = circumcision.

- God's Ten Commandments to Moses = not even one for circumcision!

The rabbis, not I said so! Therefore, wholly and seriously documented, I wrote it into the main article but WP and S rub it out. This is an insane violation of the wiki rules.

Now, in order to enlighten the main article, the 2nd Commandment topic of this """"Discussion""""  introduces my """"discovery"""" (a child would do it). It says:

- God's 2nd Commandment to Moses orders him: """"Do not circumcise.""""

But, contrary to the saying of PW and S, I never attributed this to the Reform rabbis.

Conclusion: who forgot to take their medicine, for several days now? Not I!

The ethical question involved about this discussion is: """"How can the wiki support a very obviously childish lie just because this lie has been carried along for millennia?"""" Think about it! If you are responsible persons, you cannot publish an obvious lie without warning your readers, which I am doing.

Sigi's request to WP and S: """"Circumcise your heart, eyes, ears and pen, not your peco!"""" because yes, this criminal violation of Moses 2nd Commandment is being done every day in the USA to baby boys. It even has been done to an Oregon girl, in 1950 (see http://www.aesculapiuspress.com/ - Books – The rape of innocence); indeed a good American mother cannot want her beloved daughter be deprived from circumcision when her beloved son gets it, can she? Friendly your, Sigismond 12:54, 19""",0,0,0,0,0,0
e2fdd6566478afd4,"If you're referring to me, I did what was best for the article, independently.",0,0,0,0,0,0
